,views,likes,dislikes,comment_count,comments_disabled,ratings_disabled,No_tags
21614,670294,1728,830,0,True,False,19
21615,1175967,4655,945,896,False,False,7
21616,6419624,507083,8366,45458,False,False,13
21617,321777,7220,109,410,False,False,18
21618,436767,24567,2143,1845,False,False,24
21619,792484,5417,575,944,False,False,23
21620,2940141,81501,2957,4638,False,False,27
21621,1311507,6622,1860,666,False,False,30
21622,13411878,235580,5748,20564,False,False,24
21623,2057452,40398,1569,1661,False,False,16
21624,379993,2653,318,70,False,False,11
21625,687536,13988,314,478,False,False,14
21626,254813,5109,140,377,False,False,21
21627,402916,32198,524,2293,False,False,26
21628,1156017,36608,2358,1248,False,False,35
21629,239331,1057,411,478,False,False,21
21630,13295746,140386,6367,6223,False,False,23
21631,178737,673,179,83,False,False,24
21632,172753,4946,156,1540,False,False,19
21633,360966,2028,1037,782,False,False,28
21634,549611,4999,194,163,False,False,32
21635,801476,3494,1070,315,False,False,13
21636,157036,4065,63,157,False,False,20
21637,99205,3422,904,869,False,False,8
21638,1734728,13105,1649,1004,False,False,22
21639,935444,16040,1373,2843,False,False,23
21640,589386,4120,523,429,False,False,14
21641,119021,14150,1176,777,False,False,19
21642,258329,8673,887,1377,False,False,19
21643,2035459,49845,1444,3532,False,False,21
21644,1794534,128375,1913,7762,False,False,4
21645,555157,5947,571,271,False,False,9
21646,1121914,7879,2189,2641,False,False,13
21647,174052,1575,212,132,False,False,14
21648,105719,919,154,126,False,False,29
21649,194610,800,209,44,False,False,21
21650,250012,19507,839,1510,False,False,19
21651,129581,10588,263,988,False,False,17
21652,404855,7652,352,3130,False,False,39
21653,128108,416,83,24,False,False,15
21654,72636,234,91,93,False,False,10
21655,977834,70953,2915,4057,False,False,19
21656,967444,12211,1110,812,False,False,13
21657,39770100,1592490,89677,145338,False,False,7
21658,51722,2048,92,0,True,False,49
21659,412165,1146,478,466,False,False,17
21660,111307,1077,83,84,False,False,35
21661,63422,4267,77,405,False,False,1
21662,119239,632,35,14,False,False,15
21663,166813,5096,437,1339,False,False,29
21664,756719,4431,1139,1007,False,False,25
21665,301453,7713,344,597,False,False,16
21666,142966,1369,99,118,False,False,18
